S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,65,30,192,138,75,30,189,137,74,30,184,136,75,29,181,135,73,33.36,30.24,26.83,27.23,33.36,30.22,27.18,27.21,33.36,29.92,27.38,27.47,33.36,29.78,27.78,27.45,33.36,30.76,27.94,27.35
43,248,183,96,43,246,183,106,43,244,183,106,42,244,180,110,42,247,180,110,33.30,29.11,26.75,27.61,33.30,29.11,27.11,27.95,33.30,28.88,26.96,27.87,33.37,28.74,27.76,27.83,33.37,30.08,27.90,27.84
65,336,211,119,64,336,210,144,62,336,208,144,62,333,206,141,62,329,202,141,33.18,28.11,25.64,26.99,33.17,27.90,25.42,26.94,33.17,27.97,25.87,27.31,33.32,27.29,25.49,26.99,33.32,29.22,26.99,26.88
86,373,267,128,87,372,268,172,88,370,269,169,89,372,268,169,89,371,268,167,32.85,27.35,25.39,27.48,32.81,27.30,25.18,27.27,32.85,27.51,26.12,27.51,33.01,26.55,26.20,27.66,33.10,28.71,27.31,26.97
102,423,272,163,102,419,274,195,105,416,273,196,104,417,275,197,104,407,277,197,33.50,25.11,25.56,21.96,33.30,24.84,25.40,21.55,33.17,25.21,26.31,22.63,33.34,25.30,26.32,22.85,33.31,27.38,27.35,23.17
165,506,350,200,171,499,345,252,170,499,343,250,170,492,341,263,169,496,338,263,33.58,22.18,23.80,21.04,33.36,22.42,23.57,20.42,33.17,22.94,23.90,21.19,33.33,22.84,23.55,22.01,33.50,24.37,26.22,22.20
257,544,388,256,266,535,385,337,265,536,384,332,271,529,378,349,267,526,378,349,32.03,19.90,19.91,19.07,31.60,19.31,20.13,17.10,31.67,20.86,20.67,16.98,31.18,21.10,20.85,19.39,31.54,24.11,23.42,21.47
356,451,373,312,365,440,380,374,361,434,382,374,357,431,387,403,359,436,384,399,26.62,11.70,13.07,11.80,26.28,12.86,13.46,10.80,26.06,15.14,14.24,13.23,26.76,15.13,14.74,16.39,27.90,19.16,18.63,18.55
348,398,356,321,348,402,360,382,352,401,353,386,350,402,348,411,351,403,352,406,24.49,10.87,10.73,10.99,24.35,11.50,12.02,10.29,24.67,13.65,13.42,13.12,25.09,14.36,13.82,15.56,26.54,14.85,15.47,16.06
336,400,345,333,335,395,352,404,334,399,351,399,335,402,351,435,332,399,347,436,22.01,9.97,9.94,10.01,21.89,10.72,10.75,9.49,22.27,11.25,11.29,11.14,22.50,11.94,11.65,13.05,24.65,12.31,12.55,13.13
345,378,320,302,342,385,322,386,342,387,323,388,339,380,324,404,337,379,320,399,19.89,9.19,9.52,9.44,20.60,9.91,10.09,8.78,19.94,10.20,10.87,10.47,19.74,10.68,11.51,11.32,23.62,11.13,11.59,11.69
293,374,346,314,294,377,346,366,293,369,348,368,295,379,342,386,299,377,343,392,22.81,9.30,9.36,9.70,22.86,10.16,9.86,9.34,22.39,11.29,10.77,10.61,22.96,10.71,11.32,11.32,24.93,11.07,11.34,11.90
208,424,343,282,220,410,354,344,223,417,348,342,226,421,353,358,227,430,360,360,26.81,10.55,9.88,8.98,26.68,12.08,11.00,10.64,25.42,13.72,12.00,11.71,25.50,14.04,11.98,13.76,26.08,16.27,15.90,15.96
129,429,318,214,132,435,319,262,135,432,332,268,136,432,341,284,137,428,339,289,32.01,20.62,21.92,20.61,31.84,19.87,21.83,20.12,31.42,21.24,21.65,19.92,31.15,20.21,21.20,21.07,31.54,22.69,23.75,21.54
106,427,316,196,107,426,315,250,106,433,313,247,109,428,313,257,113,430,318,258,33.89,25.97,27.52,24.08,33.96,26.58,27.13,23.36,33.95,26.38,26.97,23.45,33.61,25.32,27.28,24.21,33.41,27.28,28.73,24.88
122,454,329,197,120,457,331,249,120,455,327,253,122,451,328,264,119,449,324,263,34.28,26.69,27.24,24.28,34.54,26.33,27.23,23.89,34.44,26.53,27.21,23.51,34.55,26.30,27.45,24.63,34.61,27.85,28.86,25.11
105,409,295,182,107,408,293,237,106,409,297,237,110,405,297,252,111,409,298,251,33.44,27.19,25.35,24.23,33.31,26.97,25.43,23.67,33.53,26.51,25.13,23.86,33.32,26.46,26.08,24.63,33.42,28.21,27.53,24.97
106,424,297,202,106,424,298,257,108,420,299,255,108,419,297,261,109,419,299,262,33.24,26.07,26.20,22.49,33.09,25.77,26.37,22.15,32.96,25.69,25.91,22.91,33.10,25.47,26.53,22.65,33.13,27.24,27.48,23.38
105,409,313,177,105,408,313,238,105,409,313,239,108,406,313,253,107,404,312,251,33.04,26.75,26.20,23.08,32.95,26.91,27.20,22.80,33.02,26.14,26.38,22.92,32.74,25.94,27.07,23.54,33.14,28.62,27.92,23.36
95,416,324,197,96,417,326,265,97,420,326,262,97,423,327,272,96,422,327,274,33.16,26.59,26.26,23.06,33.09,25.95,27.24,22.58,33.12,25.82,26.54,22.57,33.16,25.59,26.94,23.51,33.24,28.08,28.32,23.54
78,409,304,198,78,407,302,244,77,405,302,248,78,407,300,259,80,408,302,260,33.08,26.13,26.60,23.07,33.02,26.21,26.85,22.29,33.04,25.95,26.37,22.63,33.12,25.97,27.14,23.56,33.27,27.92,28.35,24.11
108,435,299,204,108,435,301,273,107,436,300,271,111,433,300,289,111,433,297,286,33.21,25.83,26.13,23.41,33.16,25.98,27.06,22.67,33.22,25.46,26.29,23.05,32.95,25.46,27.46,23.65,33.19,27.47,28.18,24.15
110,434,311,179,111,434,306,243,111,432,306,244,109,430,306,251,109,424,306,254,33.09,25.81,25.30,23.56,32.99,25.89,26.26,22.80,33.06,25.74,25.57,23.67,33.16,25.36,26.81,23.98,33.26,27.62,27.72,24.02
103,469,333,186,102,468,334,238,103,467,333,236,104,463,334,253,103,469,332,251,32.93,24.94,25.70,23.63,32.79,24.97,26.19,23.05,32.66,24.79,25.63,23.24,33.03,24.32,26.11,24.07,33.13,25.66,27.43,24.08
109,440,334,200,111,436,335,260,112,435,335,261,114,437,333,285,114,437,334,284,33.16,25.21,24.55,23.52,33.01,26.08,24.44,23.19,33.10,25.18,24.84,23.42,33.04,25.13,24.88,24.16,33.16,26.93,26.82,24.45
109,462,371,224,111,464,371,279,113,460,371,277,115,462,371,299,116,457,373,299,32.95,25.10,24.11,22.88,32.71,24.75,23.58,22.15,31.97,24.68,24.10,22.41,32.69,24.57,24.69,23.02,32.96,26.26,25.87,24.27
126,460,335,205,128,458,335,262,129,462,336,263,129,455,336,275,129,458,336,278,32.94,25.56,26.25,24.51,32.75,25.79,27.37,23.64,32.77,25.34,26.96,23.62,33.00,24.93,27.14,24.64,33.02,26.61,28.33,25.16
150,474,357,242,153,470,356,303,153,463,357,304,150,471,356,317,149,471,352,315,32.47,23.80,24.67,24.04,32.23,23.77,24.48,23.14,32.32,24.05,24.25,23.16,32.54,24.25,25.11,24.11,32.70,25.91,26.51,25.22
130,470,358,207,132,466,360,274,133,472,356,273,136,467,351,286,137,464,355,286,33.04,24.79,25.25,24.11,33.17,25.35,25.69,23.33,33.44,25.02,25.29,23.46,33.35,24.97,25.96,24.36,33.39,26.59,26.96,25.06
168,517,365,249,173,511,362,317,172,503,363,316,171,504,367,330,170,505,362,330,32.91,23.81,24.44,23.70,32.79,23.75,24.45,23.11,33.19,24.61,24.43,22.89,33.16,23.51,24.95,23.71,33.21,25.49,26.13,25.09
